"id_dim_dechet","GROUPE DE DECHETS","SOUS-GROUPE DE DECHETS","DESCRIPTION PHYSIQUE","CATEGORIE","FAMILLE IN"
1,"Cadrans, indicateurs",NA,"Altimètre(0,008 m3 - 1 t - 1 unite)","AUTRES","S02"
2,"Cadrans, indicateurs",NA,"Anémomètre(0,008 m3 - 1 t - 1 unite)","AUTRES","S02"
3,"Tubes électroniques","Tube 6334 Microwave Associates","Tube 6334 Microwave Associates(0,002 m3 - 1 unite)","AUTRES","S01"
4,"Tubes électroniques","Tube 6334 PENTA Laboratories","Tube 6334 PENTA Laboratories(0,024 m3 - 12 unite)","AUTRES","S01"
5,"Tubes électroniques","Tube 6334 THOMSON","Tube 6334 THOMSON(0,018 m3 - 9 unite)","AUTRES","S01"
6,"Tubes électroniques","Tube électronique TH2611","Tube TH2611 THOMSON(0,024 m3 - 1 t - 1 1)","AUTRES","S01"
7,"Tubes électroniques","Tube F 3003","Tube F 3003(0,051 m3 - 0,23529411764706 t - 6 unite)","AUTRES","S01"
8,"Tubes électroniques","Tube F 3004A","Tube F 3004A(0,425 m3 - 0,029411764705882 t - 5 unite)","AUTRES","S01"
9,"Tubes électroniques","Tube F 3027 A THOMSON","Tube F 3027 A THOMSON(0,024 m3 - 1 unite)","AUTRES","S01"
10,"Tubes électroniques","Tube OA2 WA  SYLVANIA","Tube électronique OA2WA SYLVANIA(0,00004 m3 - 1 unite)","AUTRES","S01"
11,"Tubes électroniques","Tube OA2 WA CSF","Tube électronique radar OA2 WA CSF(0,00004 m3 - 1 unite)","AUTRES","S01"
12,"Tubes électroniques","Tube OA2 WA MAZDA","Tube électronique OA2 WA MAZDA(0,00012 m3 - 3 unite)","AUTRES","S01"
13,"Tubes électroniques","Tube OA2 WA RTC","Tube OA2 WA RTC(0,00004 m3 - 1 unite)","AUTRES","S01"
14,"Tubes électroniques","Tube OA2 WA THOMSON","Tube OA2 WA THOMSON(10 unite)","AUTRES","S01"
15,"Tubes électroniques","Tube OA2WA OREGA CIFTE","Tube électronique OA2WA pour radar(0,00004 m3 - 250 t - 1 unite)","AUTRES","S01"
