"id_fait","id_dim_geo","id_dim_dechet","id_dim_radio","id_dim_producteur","VOLUME EQUIVALENT CONDITIONNE","ACTIVITE ( Bq)"
1,18810,1,1,1,NA,"1000"
2,18810,2,1,1,NA,"1000"
3,18810,3,3,1,NA,"1000000"
4,18810,4,3,1,NA,"1000000"
5,18810,5,3,1,NA,"1000000"
6,18810,6,3,1,NA,"1000000"
7,18810,7,3,1,NA,"1000000"
8,18810,8,3,1,NA,"1000000"
9,18810,9,9,1,NA,"1000000"
10,18810,10,3,1,NA,"1000000"
11,18810,11,3,1,NA,"1000000"
12,18810,12,3,1,NA,"1000000"
13,18810,13,13,1,NA,"1000000"
14,18810,14,9,1,NA,"1000000"
15,18810,15,3,1,NA,"1000000"
16,18810,16,16,1,NA,"1000000"
17,18810,17,3,1,NA,"1000000"
18,18810,18,3,1,NA,"1000000"
19,18810,19,19,1,NA,"1000000"
20,18810,20,3,1,NA,"1000000"
21,18810,21,9,1,NA,"1000000"
22,18810,22,3,1,NA,"1000000"
23,18810,23,3,1,NA,"1000000"
24,18810,24,3,1,NA,"1000000"
25,32024,25,25,25,"0,1",NA
26,5608,26,3,26,"0,03","10000"
27,5608,27,3,26,"0,092178771","10000"
28,5608,28,3,26,"0,34485","10000"
29,13625,29,3,29,"50,6","63200000000"
30,13625,30,3,29,"2,7","4,09E+11"
31,13625,31,3,29,"521,36","2,79E+13"
32,13625,32,3,29,NA,"16000000000"
33,13625,33,3,29,"561,61","25800000000"
34,13625,34,3,29,"293,79","1630000000"
35,13625,35,3,29,"49,64","13800000"
36,13625,36,3,29,"4317,9","56400000000"
37,13625,37,3,29,"727,06","129000000"
38,18445,38,38,38,"0",NA
39,18445,39,39,38,"0",NA
40,18445,40,38,38,"0",NA
41,18445,41,41,38,"0,065352",NA
42,18445,42,39,38,"0,0002022",NA
43,18445,43,39,38,"0,509544",NA
44,37062,44,3,44,"45,076","2,68E+16"
45,37062,45,3,44,"0,816","3,61E+15"
46,37062,46,3,44,"21,728","1,21E+16"
47,37062,47,3,44,"4,264","2,35E+16"
48,37062,48,3,44,NA,"2,50E+14"
49,37062,49,3,44,"1,092","4,81E+15"
50,37062,50,3,44,"0,174","7,67E+14"
51,37062,51,3,44,"1,881","1,90E+15"
52,37062,52,3,52,"2","6930000"
53,37062,53,53,52,"2","4840000"
54,37062,54,3,52,"6","6140000"
55,37062,55,55,52,"105,56","15100000000"
56,37062,56,56,52,"1,155","16200000"
57,37062,57,3,52,"3,99","16700000"
58,37062,58,3,52,"2,66","130000000"
59,37062,59,3,52,"1,025","9660000"
60,37062,60,60,52,"8,405","40100000"
61,37062,61,55,52,"0,3","43500000"
62,37062,62,3,52,"1,15825","11000000000"
63,37062,63,63,52,"84,3","650000000"
64,37062,64,64,52,"0,33562","170000"
65,37062,65,65,52,"0,012298","44000"
66,37062,66,66,52,"3,117686","7340000000"
67,37062,67,3,52,"0,258","260000"
68,37062,68,68,52,"0,23464","7630000000"
69,37062,69,3,52,"0,36002","850000000"
70,37062,70,3,52,"0,42224","520000000"
71,37062,71,71,52,"5,40792","4700000000"
72,37062,72,3,52,"0","1500000"
73,37062,73,3,52,"0","1,00E+11"
74,37062,74,3,52,"3,88978","1,80E+11"
75,37062,75,3,52,"1,7808","33100000000"
76,37062,76,3,52,"0,51037","4,20E+11"
77,37062,77,55,52,"0,04743","22000000000"
78,37062,78,78,52,"1,3527","1300000"
79,37062,79,55,52,"0,063206","7000000000"
80,37062,80,55,52,"4,27122","2,20E+11"
81,37062,81,3,52,"0,42777","4660000000"
82,37062,82,53,52,"0,0715","50000"
83,37062,83,3,44,"29","5160000000"
84,37062,84,3,44,"34","12270000"
85,37062,85,3,44,"0",NA
86,37062,86,3,44,"8,5","783900000"
87,37062,87,3,44,"0,384","37710000"
88,37062,88,3,44,"1,384","2000000"
89,37062,89,3,44,"36,54","3820000000"
90,37062,90,3,44,"50,54","1010000000"
91,37062,91,3,44,"7,98","4060000000"
92,37062,92,3,44,"4,92","1,22E+11"
93,37062,93,3,44,"34","50440000000"
94,37062,94,3,44,"4","8,15E+11"
95,37062,95,3,44,"46","1,67E+13"
96,37062,96,3,44,"30,645","1400000000"
97,37062,97,3,44,"5,88","56000000"
98,37062,98,3,44,"2,325","4780000000"
99,37062,99,3,44,"89,97","184000000"
100,37062,100,3,44,"0",NA
101,37062,101,3,44,"0",NA
102,37062,102,3,44,"0,01668","8700000000"
